titre,texte,note,date
Mutuelle à fuir ,Mutuelle à fuir ! Très chère. Alan rechigne à rembourser. La mutuelle refuse systématiquement les documents transmis par les hôpitaux et demande des documents complémentaires alors que les autres mutuelles n’en demandent pas. ,1,2026-01-02T10:11:00.000Z
Un jeu qui devient « obligatoire » ,"Le principe des défis bien-être est intéressant et peut motiver à bouger un peu. En revanche, le système de “série” qui se réinitialise si on ne fait pas de défi chaque jour crée une pression inutile. Même si les récompenses sont virtuelles, le fait de perdre ce qu’on a déjà acquis donne une impression d’obligation plus que de motivation. En matière de santé, chacun devrait pouvoir faire des pauses (fatigue, travail, règles, douleurs, etc.) sans être pénalisé. Contrairement à d’autres systèmes où les acquis restent acquis, ici la peur de perdre décourage plus qu’elle n’aide.",2,2025-12-29T14:07:16.000Z
"Scam, attention arnaque ! ",Comme la moitié des avis. Je confirme l'arnaque ! C'est une société de scam. Je parle à des conseillers qui me font tourner en rond volontairement me demandant le même justificatif en boucle pour ne pas rembourser. A ce jour aucun frais médical n'a été remboursé par cette mutuelle. Je vais en parler à mon entreprise qui est victime de cette escroquerie. ,1,2025-12-27T02:16:17.000Z
L'enfer pour se faire rembourser,L'enfer pour se faire rembourser. Des justificatifs à ralonge. Des conseillers qui ne répondent pas. A fuir. ,1,2025-12-26T14:24:56.000Z
Depuis quelque jour j’essaie de rentrer…,Monsieur Abderrahman top m’as aidé.Prétendent avis ;Depuis quelque jour j’essaie de rentrer en contact afin pour y avoir du support car je suis un nouveau utilisateur sur la platform ainsi l’utilisation est difficile.Malgré cela reste difficile de parler via l’application ni mail… Triste 😞 ,5,2025-12-23T14:55:42.000Z
Une mutuelle super !,Une mutuelle super !J’adore application et son extrême facilité d’utilisation. Je n’ai eu aucun problème de remboursement qui sont presque instantané. Et le système de Berry dans l’application est super !,5,2025-12-21T17:53:52.000Z
A FUIR!!!!,"A FUIR!!!!! Mutuelle qui cherche n'importe quel prétexte pour ne pas rembourser!!!! Attention dés 2026 celle-ci vous imposera de commander vos lentilles uniquement sur leur plateforme sinon ils ne vous rembourseront pas, de quoi récupérer l'argent qu'ils nous doivent!!! De la concurrence deloyal, vous n'avez pas honte!!!!",1,2025-12-18T18:25:13.000Z
Personnel tres réactif pour répondre et…,Personnel tres réactif pour répondre et trouver des solutions aux differents problèmes et questions.,5,2025-12-13T10:03:57.000Z
Service client rapide et efficace,Service client rapide et efficace ,5,2025-12-12T11:44:42.000Z
La réactivité et les remboursements…,"La réactivité et les remboursements sont très rapides, appli ultra facile. Je recommande !",5,2025-12-05T12:54:29.000Z
Bonne expérience  rapide et efficaces,Bonne expérience  rapide et efficaces ,4,2025-12-03T20:39:06.000Z
Mutuelle inutile,"Mutuelle qui ne rembourse pas une opération des dents de sagesse. Malgré plusieurs appels et plusieurs envois de documents, ils refusent systématiquement en prétextant que les documents ne sont pas bons. Nous allons être obligés de changer de mutuelle. Marre payer pour rien !",1,2025-12-03T18:39:57.000Z
Manon et une personne très réactive,Manon et une personne très réactive ,5,2025-11-28T18:20:05.000Z
Très bonne mutuelle,"Très bonne mutuelle, avec l'appli on arrive à tout gérer en simplicité.",5,2025-11-26T22:29:58.000Z
Un manque de remboursement sur du…,Un manque de remboursement sur du dentaire du à un non remboursement de la sécurité sociale J’ai compris d’où ça venait et tout a été régularisé sous 3 jours ..  presque 300 quand même . ,5,2025-11-25T16:10:42.000Z
Je souhaitais rester adhérent d'Alan…,"Je souhaitais rester adhérent d'Alan après mon départ en retraite. Par négligence, je n'ai pas fait le nécessaire avant la ""bascule"". Avec les conseils d'Alan, tout est rentré dans l'ordre ",5,2025-11-25T15:30:17.000Z
Tout est bon pour ne pas rembourser,"Ma fille a subi une opération de dents de sagesse dans une clinique. On a du payer un dépassement d'honoraires de 120 euros. Alan n'a pas voulu rembourser car il leur manque 2 codes de la sécurité sociale. J'ai contacté la clinique qui n'a jamais entendu parler de ces codes.Et pourtant, à coté de cela, ils ont remboursé la chambre particulière pour cette même opération.  Ils ont donc la possibilité de savoir quel acte a subi ma fille. ",1,2025-11-25T14:39:25.000Z
La mutuelle du futur ,La mutuelle du futur : j'aime le fait que les remboursements soit simplifiés et tellement plus rapide je recommande,5,2025-11-22T00:31:25.000Z
Mauvaise expérience avec le service client,"Bonjour,J’ai tenté d’obtenir une réponse personnalisée d’Alan… mais visiblement, le bouton ""Réponse automatique"" a été bloqué sur ON.Chaque message de ma part recevait une réponse standard, comme si un robot s’entraînait à dire ""Je reste disponible"" sans jamais lire ce qu’on lui écrit.J’ai expliqué ma situation, mon historique, mes besoins, mes comparatifs…En retour : un copier-coller vers la page des garanties.À ce niveau-là, ce n’est plus du service client, c’est un renvoi systématique vers la FAQ.Pendant que je cherchais un véritable échange, Alan me renvoyait poliment vers des liens.un concurent, lui, m’a répondu avec un humain, un vrai, et un tarif adapté.A la fin j’ai changé de mutuelle.Si Alan cherche une raison pour comprendre mon départ, elle se trouve quelque part entre ""réponses génériques"" et ""manque total d’écoute"".Dommage, l’application est super… mais on ne peut pas tout faire avec des emojis fleurs.",1,2025-11-19T12:38:31.000Z
L'application est tellement jolie et le…,L'application est tellement jolie et le parcours utilisateur est presque parfait ! Je trouve juste que la fonctionnalité des berries est un peu trop omniprésente. Normalement ce n'est pas la fonctionnalité principale donc je sais pas si c'est très pratique qu'elle apparaisse directement à l'ouverture. Sinon c'est quand même très cool comme fonctionnalité. Bravo pour cette application complète !,5,2025-11-18T11:37:15.000Z
Une demande d'aide exceptionnelle qui a…,Une demande d'aide exceptionnelle qui a été accordée pour une prothèse dentaire provisoire non remboursée. Mails à l'appui j'attends toujours le virement de 1325 euros afin de payer l'hôpital qui ne pas hésiter à me les réclamer. Service financier injoignable par les clients et par les conseillers qui ne peuvent rien faire. Je vais passer a la plus petite garantie (mutuelle de travail obligatoire) afin de m'en prendre une autre. A fuir. Même si je pensais que c'était top cette prise en charge. Si alan bouge après l'écrit de cette évaluation je reverrais ma copie. ,1,2025-11-14T11:52:22.000Z
Mutuelle de l’arnaque ,Mutuelle de l’arnaque ! Ne rembourse pas ces assurés résultat j’ai payé en avant de frais 300e de lentilles alors que je cotise chaque mois. Je vous conseille de les signaler à signal conso.,1,2025-11-10T17:58:47.000Z
Envoi rapide. SAV au top. Traitement éclair ,L'envoi de document est rapide. Le traitement est éclair et en cas de soucis un vrai contact humain est possible par mail avec un vrai engagement. Les réponses aux questions pas comme la la secu qui répondent a côté. Et un réel suivi. Agréablement surpris.,5,2025-11-10T12:46:35.000Z
Super mutuelle.,"Super mutuelle avec un site internet très intuitif, clair, facile d'utilisation et détaillé. Excellent suivi des remboursements. Très reactif. J'ai choisi cette mutuelle il y a quelques mois et je n'ai aucun regret. Tarif correct pour les différentes prises en charge proposées.",5,2025-11-09T16:45:03.000Z
Écoute chaleureuse,"Écoute chaleureuse, professionnalisme et réactivité ",5,2025-11-08T09:41:47.000Z
Fiable ,"Elle a su comprendre et régler mon problème sur le moment même, j’ai bien apprécié ! ",5,2025-11-05T17:17:07.000Z
Pas de standard téléphonique…,Pas de standard téléphonique regrettable et déplorable,1,2025-11-04T12:59:41.000Z
Une honte absolue.,"Une honte absolue.Alan m’a facturé près de 800 € de “régularisation” pour une salariée en alternance rattachée à sa mère, donc jamais réellement couverte par LDWS.Malgré mes explications et preuves à l’appui, aucune écoute, aucune vérification, juste un prélèvement forcé et un discours robotisé.On parle ici d’une facturation rétroactive sans service rendu.C’est simple : prise d’otage administrative déguisée en “régularisation technique”.Alan prône la transparence ? Qu’ils commencent par respecter leurs clients.Entreprise à fuir pour tout employeur qui veut éviter les “surprises” et les “corrections” post-contrat.LDWS – client écoeuré.",1,2025-11-04T11:05:10.000Z
Souscription forcée et Vente de données personnelles,"Forcé de passer chez eux à la suite d'une décision de mon employeur, une lecture rapide de leur site web et de leur politique de confidentialité ne donne pas envie de leur faire confiance.Concernant la politique de confidentialité : Alan transmet les données personnelles de l'utilisateur a ses partenaires... Une liste internationale avec des 'partenaires' tels que X, Google, Meta, Amazon mais aussi Spotify et tiktok (Quel intérêt pour un site d'assurance ???) Une case à décocher existe pour refuser qu'Alan collecte et communique une partie de ces données mais elle est cachée en plein milieu d'un paragraphe en bas de la page de la politique de confidentialité.Notons aussi qu'Alan se veut une assurance à la pointe de la technologie, poussant l'IA jusque dans les pages d'aide de son site qui fleurent bon le gpt5 et les chatbots qui vont 'tenter' de répondre à vos questions (et, je l'espère, ne pas garder en mémoire vos conversations ou les communiquer avec leurs développeurs).",1,2025-11-04T10:26:01.000Z
Service client médiocre.,"Service client médiocre.Que dire de plus ? Je suis dirigeant d'une entreprise qui emploie 6 collaborateurs. Pour chaque collaborateur, nous versons chaque mois à Alan le montant de la cotisation mutuelle + celui de la cotisation prévoyance.Quand on n'a pas besoin de les solliciter, RAS, l'appli est agréable, bien designée, les collaborateurs semblent satisfaits et tant mieux. Mais quand on demande, sur l'interface, à activer la fameuse prévoyance pour que l'entreprise soit remboursée des maintiens de salaire versés pendant les arrêts maladie, c'est une toute autre histoire.On passe par un chatbot sur lequel ce n'est jamais la même personne qui vous répond. Vous recevez ensuite un mail à chaque message envoyé en réponse à votre demande, sans que celle-ci ne progresse. Et quand vous cliquez sur le bouton ""Je souhaite être rappelé en 48h"", il ne se passe strictement rien. Pendant 48, 72, 96 heures, rien, vous pouvez patienter. On vante l'intégration avec Payfit comme un argument différenciant. Au final, aucune liaison n'existe entre les deux SaaS, en dehors de la DSN. Les arrêts de travail doivent être déclarés manuellement et les documents de Payfit ne sont pas conformes aux attentes d'Alan. Conflit de licornes.Le tout numérique a ses limites, surtout quand il est au même tarif qu'un concurrent ""physique"" qui, lui, répond au téléphone.Bravo pour le marketing, mais pour nous ce n'est pas suffisant.",1,2025-11-03T15:43:25.000Z
Une réactivité en cohérence avec le…,Une réactivité en cohérence avec le sujet le service client ,4,2025-11-01T15:03:40.000Z
Super SAV !!!!!,Super SAV !!!!!,5,2025-10-31T11:09:22.000Z
Réactivité,Réactivité ,5,2025-10-30T21:35:42.000Z
Une des meilleurs mutuelles ,"Une des meilleurs mutuelles ! Je la recommande totalement. 100% digitale, réactive et remboursements des plus rapides. ",5,2025-10-27T23:04:44.000Z
"""Deny, delay, defend"" tout simplement ","Ils ne remboursent pas les médicaments qui figurent sur la liste des articles qu'ils sont censés rembourser, et lorsque vous demandez la raison, ils ne répondent tout simplement pas. Il n'y a aucun moyen de les contacter de manière efficace.",1,2025-10-27T18:10:31.000Z
une honte !,"Société d'assurance qui vend de la poudre d'escampette soi disant avec leur rapidité de remboursement, ce qui est vrai, mais seulement quand ils acceptent de rembourser ! je dois prendre un médicament qui coûte cher tous les mois, médicament prescrit par un médecin, après avoir demandé des tonnes de documents et avoir laissé trainer les choses, ils refusent de rembourser le médicament, me renvoyant chez un psy, un diététicienne (alors que c'est justement un medecin généraliste diététicien qui me prescrit le médicament). je ne peux malheureusement pas changer d'assurance car c'est l'assurance de mon travail, mais j'attends impatiemment qu'elle change, c'est juste une honte, je n'ai jamasi eu de problème de la sorte avec une autre assurance! et j'espère ne pas voir d'ici là une maladie grave ! ",1,2025-10-24T09:40:25.000Z
LE TRAITEMENT A ETE RAPIDE,LE TRAITEMENT A ETE RAPIDE,5,2025-10-23T13:48:16.000Z
Mutuelle impossible à résilier en cas de changement de statut,"J’étais très satisfaite d’Alan au début : service fluide, interface claire, remboursements rapides et efficacité au rendez-vous.J’avais opté pour un contrat en tant qu’indépendante, mais ma situation professionnelle a évolué : je suis désormais salariée avec une mutuelle d’entreprise obligatoire, ce qui m’a conduite à demander une résiliation anticipée.Mon contrat d’indépendante est aujourd’hui caduque, mais Alan refuse toujours de le résilier, en contradiction avec l’article L113-16 du Code des assurances, qui autorise explicitement la résiliation en cas de changement de situation professionnelle.Résultat : je paie deux mutuelles, alors que ce contrat n’a plus aucune raison d’exister dans ma nouvelle situation de salariée. C’est incompréhensible et décevant de la part d’une entreprise qui se présente comme moderne, transparente et à l’écoute de ses assurés.Si vous changez de statut, attendez-vous à un véritable parcours du combattant, même dans un cas pourtant parfaitement légitime.",2,2025-10-23T12:39:54.000Z
Suivi du dossier réactif et complet…,"Suivi du dossier réactif et complet alors même que la demande concernait mon ancienne mutuelle, qui, elle, n'a pas pris la peine de me répondre.",5,2025-10-23T11:27:13.000Z
Efficacité ,La réponse que j'avais posé concernant mon adhésion a été apporté rapidement et justement ,5,2025-10-22T20:20:53.000Z
Remboursement rapide,"Remboursement rapide, service client efficace MAIS très mauvaise couverture (la pire de ma carrière) et hyper cher (et ils continuent d'augmenter)",2,2025-10-22T14:08:14.000Z
Très déçu par Alan,"Très déçu par AlanLe service ne fait que se dégrader d’année en année.Mais surtout, ils font du dumping. Ils proposent un tarif d’entrée raisonnable, pour ensuite l’augmenter de 15% chaque année…",1,2025-10-22T10:12:25.000Z
Hausse injustifiée et dérive du modèle Alan,"Client Alan depuis ces débuts, je note une fois de plus une augmentation dispendieuse (2021, 2023, 2024, 2025...) des cotisations Alan. Alors que les Français renoncent de plus en plus à se soigner, vous osez justifier ces hausses par « l’augmentation du coût des soins ». C’est un raisonnement paresseux, indécent, et symptomatique d’un système qui glisse lentement vers un modèle à l’américaine, où la santé devient un luxe. La start-up Alan, celle qui voulait bousculer le marché, simplifier les démarches et défendre une offre claire et équitable, n’existe plus. À sa place, une mutuelle comme les autres, qui choisit la facilité en augmentant ses tarifs, tout en proposant des formules de remboursement à la baisse. En cédant ainsi au confort du statu quo, vous creusez votre propre tombe : vous devenez exactement ce que vous prétendiez combattre. Le plus consternant, c’est de voir Alan dépenser des dizaines de milliers d’euros dans des pseudo-services gadgets, inutiles pour 99 % des cotisants, pendant que vos promesses initiales disparaissent dans le brouillard. Ce sera la dernière année pour mon entreprise. Et je ne serai sans doute pas le seul à tirer les mêmes conclusions.",2,2025-10-20T13:59:11.000Z
Absence de service client,"Cela fait plus d’une semaine qu’Alan me fait tourner en rond pour éviter de procéder au remboursement de mes soins optiques (lunettes et lentilles). Ils prétendent que les fichiers ne sont pas au format PDF et que le décompte de la Sécurité sociale ne justifie pas ma visite chez l’ophtalmologue, ce qui est totalement faux. Honteux.",1,2025-10-20T10:59:22.000Z
Le service est juste insupportable,Le service est juste insupportable. Ce sont des échanges mails interminables et vous demande de vous justicier surtout.J’ai limite à croire qu’ils ne répondent même pas à leurs obligations de conformité RGPD. Ils vous demandent des photos de vous et de vous justifier surtout.,1,2025-10-17T11:44:33.000Z
L’inefficacité en robe de mutuelle ,"Une demande simple, légitime, documentée… et pourtant, Alan parvient à la transformer en casse-tête administratif. Derrière des « analyses approfondies » et des procédures opaques, on découvre une stratégie bien rodée : retarder, diluer, détourner. Le bon sens ? Évacué. L’intérêt du client ? Accessoire. Ce n’est plus de la gestion, c’est de l’obstruction. Une mutuelle qui maîtrise l’art de l’inaction déguisée en professionnalisme. À éviter si vous cherchez réactivité, clarté et respect.",1,2025-10-17T04:53:59.000Z
CONTACT,NON JOIGNABLE PAR TELEPHONE - FORT DOMMAGE,3,2025-10-15T14:10:54.000Z
Enfin une mutuelle qui s'occupe…,"Enfin une mutuelle qui s'occupe vraiment de ses adhérents. Tout est simplement parfait, rapidité des remboursements, clarté des informations communiquées. Une appli vraiment ergonomique avec la possibilité d'avoir des conseils médicaux . Avec Alan play je prends soin de ma santé de manière simple et ludique. Un service client sympathique et efficace. Et cerise sur le gâteau un vrai engagement social avec la possibilité de faire un don à des associations",5,2025-10-11T08:32:34.000Z
Mutuelle d'entreprise bas de gamme avec…,"Mutuelle d'entreprise bas de gamme avec un TR très bas et pourtant très coûteuse ! Avis au salarié, si vous avez le choix, ne la prenez pas ! Sachez qu'ils n'appliquent pas l'accord tacite de portabilité prévue par la loi puisqu'elle est ""sous condition"" chez eux. Votre couverture sera  mise en suspens dès votre sortie de l'entreprise. Il vous faudra joindre des justificatifs FT à chaque début de mois sur l'appli, si vous voulez continuer à être couvert. A ce titre des le 27 du mois votre contrat est mis en suspend jusqu'a la récéption des pieces jutificatives FT. Document disponible en général vers les 05 de chaque mois. Soyez donc vigilant quand au facturation éditer durant ce laps de temps. Pratique douteuse à mons sens et qui mérite d'etre souligné ici.",1,2025-10-10T11:24:29.000Z
ALAN mutuelle à jeter,"La fumisterie dans toute sa splendeur, il suffit de regarder l'ensemble des réponses d'ALAN""Bonjour,Nous prenons très au sérieux les difficultés que vous rencontrez et comprenons votre frustration. Nous voyons que vous êtes actuellement en contact avec une personne de notre équipe, qui va vous accompagner pour régler cela au plus vite. Merci pour votre compréhension.L'équipe Alan""A savoir que toutes les personnes qui ont été bernées par cette société ne sont même pas écoutées.A vomir ...",1,2025-10-09T16:42:27.000Z
FABULEUX,FABULEUX. JE RECOMMANDE VIVEMENT,5,2025-10-08T11:37:25.000Z
Alan est une mutuelle au TOP ,"Alan est une mutuelle au TOP ! Tant dans la rapidité des remboursements, l'ergonomie de leur application jusqu'à leur messagerie automatique. L'accès au soin devient facile grâce à eux !!",5,2025-10-03T20:56:04.000Z
Expérience désastreuse et catastrophe industrielle,"Expérience désastreuse et une catastrophe industrielle jamais vu.J'ai souscrit pour mon entreprise un contrat Alan car la promesse de fluidité et d'expérience utilisateur exceptionnelle promis m'a séduit.Et bien j'ai vite déchanté:- Blocage de la mise en place de la télétransmission pendant de longues semaines pendant lesquels des soins importants n'ont pu être réalisés pour assurés et ayant droit.- Rejet systématiques du tiers payant pour le dentiste- E-mail culpabilisant suite au rejet du tiers avec accusation à peine voilé de chasse à l'arnaque- Blocage de tout paiement des spécialistes pendant des semaines (mois (2 mois en ce qui me concerne) avec demande sur l'application de valider que ce paiement a bien été fait par le patient au professionnel de santé... Bien sûr, pas de notification pour indiquer ce traitement manuel jamais vu chez aucune autre mutuelle/assurance santé ..J'ai pu échanger à propos d'Alan avec les professionnels de santé que je fréquente et m'ont confirmé tous les problèmes qu'ils pouvaient avoir avec cette jeune et immature assurance privé.Je suis donc bloqué encore pendant 7 mois avec cette assurance privé incompétente et je ne renouvellerai bien sûr pas l'expérience l'année suivante.J'invite tout le monde à la plus grande prudence avec celle-ci et à privilégier une vrai mutuelle comme Macif, Aesio, Maaf, MAIF, MGEN, Harmonie,",1,2025-10-03T10:50:22.000Z
Aucun service,"Très pratique, sauf quand vous avez besoin d'eux. Client depuis plusieurs années avec mon entreprise, je cherchais à changer d'offre et malgré leur service client ""très réactif"" personne n'est là pour répondre et vous aider (à part pour vous envoyer des petits émojis). Bref une vraie licorne... gonflée avec du vent.",1,2025-10-02T13:36:19.000Z
Excellent service et conseil,Excellent service et conseil. Merci bcp !,5,2025-10-02T10:24:12.000Z
Réactive! ,Mutuelle très réactive ! Que ce soit au niveau des réponses à nos questions ou au niveau des remboursements ! ,5,2025-10-01T20:32:28.000Z
Très contente de la prestation,"Très contente d'une récente commande de produits couverts par mon forfait - site web facile à naviguer, commande sans stress, livraison rapide, bonne communication avec le SAV pour vérifier que tout s'est bien passé - en bref, une Mutuelle à recommender !",5,2025-10-01T11:03:26.000Z
Très bonne réactivité et facile d'emploi,Très bonne réactivité au niveau de la communication et des remboursements. Le site et l'application sont facile d'emploi et il est facile d'y trouver les informations recherchées.,5,2025-09-30T17:17:18.000Z
La meilleure mutuelle que j'ai eue.,"La meilleure mutuelle que j'ai eue.Une rapidité incroyable de remboursement (instantané sur le compte bancaire dès envoi de la facture), un service client sympathique et une interface de l'application très pratique. Beaucoup de contenu santé très utile. ",5,2025-09-30T15:46:27.000Z
"Commande de lentilles, 20 jours après, pas de nouvelles","Commande de lentilles passée avec eux le 10 septembre. Aucune nouvelle de leur part 20 jours après, même en contactant leur service client.D'ailleurs, leur service client, catastrophique (c'est une IA ?) Aucune information sur la commande, même l'agente n'arrivait pas à trouver ma commande, j'ai dû lui fournir toutes les infos pour au final me dire la même chose que je savais déjà : que dalle.Vraiment pas sérieux, je cherchais la commodité de recevoir mes lentilles rapidement dans mon domicile, mais c'est bien raté.",1,2025-09-29T15:24:02.000Z
Merci Alan c'est TOP.,Merci Alan c'est TOP.Communication professionnelle et réponse assez rapide.Merci beaucoup.,5,2025-09-28T23:27:19.000Z
J’ai choisi Alan il y a quelques mois…,"J’ai choisi Alan il y a quelques mois après un échange avec un commercial qui m’a orienté vers l’offre de base, en m’indiquant que je pourrais changer facilement si besoin. Ma fille devait commencer des soins d’orthodontie et je pensais être couvert correctement.Résultat : je découvre que les premiers soins me coûtent 600 € de ma poche. Impossible de modifier l’offre une fois les soins engagés, et pas de résiliation possible avant un an. En plus, il a fallu plusieurs jours pour obtenir un rappel téléphonique.Est-ce que je recommande Alan ? Non.",1,2025-09-25T13:59:07.000Z
Professionnelle et bienveillante,Professionnelle et bienveillante ,5,2025-09-22T21:17:24.000Z
Je suis très satisfaite de cette…,Je suis très satisfaite de cette application trop stylée.Les conseillers très agréable efficace et a l'ecoute...tout est en ligne c'est super rapide et efficace 👌🏻 merci beaucoup. 😊 ,5,2025-09-19T18:21:05.000Z
UX très mal pensé + prise en charge chaotique,UX très mal pensé. Qaund vous faites une demande de remboursement ça marche une fois sur 2 car l'outilde reconnaissance est aux fraises et vous bloque par la suite. Et le support vous pouvez oublié de les avoir au téléphone alors qu'il le propose. Par contre pour faire des réponses automatisés qui n'ont aucun sens aucun problème.,2,2025-09-19T08:08:14.000Z
Alan et l'Outre-mer?,"Alan ne rembourse rien en Outre-mer et si remboursement il y a des frais bancaires en sus. Il faut faire leur travail à leur place. Ils demandent des documents qu'avec d'autres mutuelles il n'y a jamais eu à fournir.Un remboursement tiers-payant en attente depuis juillet 2025 toujours rien. Alors qu'avec la MGEN et Harmonie mutuelle les remboursements étaient effectués en 2 semaines sans demande de justificatifs à part la facture.La réalité n'est pas la hauteur des promesses qu'Alan avait faites en 2024 pour l'Outre mer.Je paye plus cher pour moins de service. Pour ce que je paye à Alan (mutuelle seulement) avec la MGEN j'avais la complémentaire, la prévoyance et l'assurance voyage dans le monde entier. ",1,2025-09-15T21:24:56.000Z
réactivité et suivi,Le suivi des dossier est parfait. la réactivité est impressionnante!,5,2025-09-15T15:09:09.000Z
